timestamp,bucket,_measurement,_field,value
2025-01-05T00:00:00,1_2_7,battery,value,49.97
2025-01-05T00:00:00,1_3_10,battery,value,99.98
2025-01-05T00:01:06,1_2_7,battery,value,49.93
2025-01-05T00:01:06,1_3_10,battery,value,99.96
2025-01-05T00:02:12,1_2_7,battery,value,49.91
2025-01-05T00:02:12,1_3_10,battery,value,99.95
2025-01-05T00:03:33,1_2_7,battery,value,49.87
2025-01-05T00:03:33,1_3_10,battery,value,99.93
2025-01-05T00:04:48,1_2_7,battery,value,49.83
2025-01-05T00:04:48,1_3_10,battery,value,99.91
2025-01-05T00:06:11,1_2_7,battery,value,49.81
2025-01-05T00:06:11,1_3_10,battery,value,99.86
2025-01-05T00:07:35,1_2_7,battery,value,49.78
2025-01-05T00:07:35,1_3_10,battery,value,99.84
2025-01-05T00:08:48,1_2_7,battery,value,49.77
2025-01-05T00:08:48,1_3_10,battery,value,99.8
2025-01-05T00:09:53,1_2_7,battery,value,49.75
2025-01-05T00:09:53,1_3_10,battery,value,99.75
2025-01-05T00:11:05,1_2_7,battery,value,49.73
2025-01-05T00:11:05,1_3_10,battery,value,99.74
2025-01-05T00:12:22,1_2_7,battery,value,49.7
2025-01-05T00:12:22,1_3_10,battery,value,99.69
2025-01-05T00:13:32,1_2_7,battery,value,49.67
2025-01-05T00:13:32,1_3_10,battery,value,99.64
2025-01-05T00:14:51,1_2_7,battery,value,49.63
2025-01-05T00:14:51,1_3_10,battery,value,99.62
2025-01-05T00:15:56,1_2_7,battery,value,49.58
2025-01-05T00:15:56,1_3_10,battery,value,99.59
2025-01-05T00:17:22,1_2_7,battery,value,49.54
2025-01-05T00:17:22,1_3_10,battery,value,99.57
2025-01-05T00:18:24,1_2_7,battery,value,49.5
2025-01-05T00:18:24,1_3_10,battery,value,99.55
2025-01-05T00:19:43,1_2_7,battery,value,49.47
2025-01-05T00:19:43,1_3_10,battery,value,99.52
2025-01-05T00:20:55,1_2_7,battery,value,49.44
2025-01-05T00:20:55,1_3_10,battery,value,99.47
2025-01-05T00:22:09,1_2_7,battery,value,49.41
2025-01-05T00:22:09,1_3_10,battery,value,99.44
2025-01-05T00:23:30,1_2_7,battery,value,49.39
2025-01-05T00:23:30,1_3_10,battery,value,99.4
2025-01-05T00:24:51,1_2_7,battery,value,49.37
2025-01-05T00:24:51,1_3_10,battery,value,99.36
2025-01-05T00:26:05,1_2_7,battery,value,49.33
2025-01-05T00:26:05,1_3_10,battery,value,99.32
2025-01-05T00:27:25,1_2_7,battery,value,49.31
2025-01-05T00:27:25,1_3_10,battery,value,99.29
2025-01-05T00:28:47,1_2_7,battery,value,49.27
2025-01-05T00:28:47,1_3_10,battery,value,99.25
2025-01-05T00:29:52,1_2_7,battery,value,49.25
2025-01-05T00:29:52,1_3_10,battery,value,99.21
2025-01-05T00:31:02,1_2_7,battery,value,49.21
2025-01-05T00:31:02,1_3_10,battery,value,99.16
2025-01-05T00:32:02,1_2_7,battery,value,49.17
2025-01-05T00:32:02,1_3_10,battery,value,99.15
2025-01-05T00:33:02,1_2_7,battery,value,49.13
2025-01-05T00:33:02,1_3_10,battery,value,99.13
2025-01-05T00:34:18,1_2_7,battery,value,49.08
2025-01-05T00:34:18,1_3_10,battery,value,99.12
2025-01-05T00:35:43,1_2_7,battery,value,49.04
2025-01-05T00:35:43,1_3_10,battery,value,99.08
2025-01-05T00:36:44,1_2_7,battery,value,49.01
2025-01-05T00:36:44,1_3_10,battery,value,99.04
2025-01-05T00:38:04,1_2_7,battery,value,48.98
2025-01-05T00:38:04,1_3_10,battery,value,99.01
2025-01-05T00:39:26,1_2_7,battery,value,48.95
2025-01-05T00:39:26,1_3_10,battery,value,98.98
2025-01-05T00:40:45,1_2_7,battery,value,48.93
2025-01-05T00:40:45,1_3_10,battery,value,98.96
2025-01-05T00:42:12,1_2_7,battery,value,48.89
2025-01-05T00:42:12,1_3_10,battery,value,98.95
2025-01-05T00:43:39,1_2_7,battery,value,48.86
2025-01-05T00:43:39,1_3_10,battery,value,98.94
2025-01-05T00:44:53,1_2_7,battery,value,48.85
2025-01-05T00:44:53,1_3_10,battery,value,98.89
2025-01-05T00:46:11,1_2_7,battery,value,48.83
2025-01-05T00:46:11,1_3_10,battery,value,98.85
2025-01-05T00:47:24,1_2_7,battery,value,48.8
2025-01-05T00:47:24,1_3_10,battery,value,98.82
2025-01-05T00:48:29,1_2_7,battery,value,48.75
2025-01-05T00:48:29,1_3_10,battery,value,98.77
2025-01-05T00:49:59,1_2_7,battery,value,48.71
2025-01-05T00:49:59,1_3_10,battery,value,98.75
2025-01-05T00:51:19,1_2_7,battery,value,48.68
2025-01-05T00:51:19,1_3_10,battery,value,98.7
2025-01-05T00:52:49,1_2_7,battery,value,48.65
2025-01-05T00:52:49,1_3_10,battery,value,98.69
2025-01-05T00:54:05,1_2_7,battery,value,48.61
