timestamp,bucket,_measurement,_field,value,voltage
2025-01-05T00:00:00,1_2_7,battery,value,49.96,3.93
2025-01-05T00:00:00,1_3_10,battery,value,99.96,3.7
2025-01-05T00:01:11,1_2_7,battery,value,49.92,3.75
2025-01-05T00:01:11,1_3_10,battery,value,99.94,3.87
2025-01-05T00:02:36,1_2_7,battery,value,49.89,3.98
2025-01-05T00:02:36,1_3_10,battery,value,99.92,3.88
2025-01-05T00:03:54,1_2_7,battery,value,49.88,3.76
2025-01-05T00:03:54,1_3_10,battery,value,99.9,3.84
2025-01-05T00:05:08,1_2_7,battery,value,49.85,3.85
2025-01-05T00:05:08,1_3_10,battery,value,99.87,3.72
2025-01-05T00:06:12,1_2_7,battery,value,49.81,3.75
2025-01-05T00:06:12,1_3_10,battery,value,99.83,3.92
2025-01-05T00:07:15,1_2_7,battery,value,49.78,3.76
2025-01-05T00:07:15,1_3_10,battery,value,99.79,3.82
2025-01-05T00:08:43,1_2_7,battery,value,49.73,3.97
2025-01-05T00:08:43,1_3_10,battery,value,99.77,3.8
2025-01-05T00:10:02,1_2_7,battery,value,49.72,3.82
2025-01-05T00:10:02,1_3_10,battery,value,99.74,3.84
2025-01-05T00:11:17,1_2_7,battery,value,49.71,3.91
2025-01-05T00:11:17,1_3_10,battery,value,99.69,3.75
2025-01-05T00:12:32,1_2_7,battery,value,49.68,3.95
2025-01-05T00:12:32,1_3_10,battery,value,99.68,3.82
2025-01-05T00:13:54,1_2_7,battery,value,49.65,3.82
2025-01-05T00:13:54,1_3_10,battery,value,99.63,3.76
2025-01-05T00:15:10,1_2_7,battery,value,49.63,3.9
2025-01-05T00:15:10,1_3_10,battery,value,99.62,3.78
2025-01-05T00:16:33,1_2_7,battery,value,49.61,3.96
2025-01-05T00:16:33,1_3_10,battery,value,99.57,3.82
2025-01-05T00:17:53,1_2_7,battery,value,49.59,3.96
2025-01-05T00:17:53,1_3_10,battery,value,99.54,3.85
2025-01-05T00:19:02,1_2_7,battery,value,49.57,3.97
2025-01-05T00:19:02,1_3_10,battery,value,99.49,3.8
2025-01-05T00:20:29,1_2_7,battery,value,49.54,3.98
2025-01-05T00:20:29,1_3_10,battery,value,99.46,3.72
2025-01-05T00:21:43,1_2_7,battery,value,49.51,3.79
2025-01-05T00:21:43,1_3_10,battery,value,99.45,3.9
2025-01-05T00:23:11,1_2_7,battery,value,49.46,3.73
2025-01-05T00:23:11,1_3_10,battery,value,99.42,3.71
2025-01-05T00:24:39,1_2_7,battery,value,49.44,3.77
2025-01-05T00:24:39,1_3_10,battery,value,99.39,3.91
2025-01-05T00:25:49,1_2_7,battery,value,49.41,3.77
