room	start	duration	status
corridor	2024-10-28 10:49:50	824073.0	Emergency
entrance	2024-11-06 23:44:55	0.0	Normal
corridor	2024-11-06 23:44:55	5.0	Normal
entrance	2024-11-06 23:45:00	4.0	Normal
corridor	2024-11-06 23:45:04	0.0	Normal
entrance	2024-11-06 23:45:10	0.0	Normal
corridor	2024-11-06 23:45:10	0.0	Normal
entrance	2024-11-06 23:45:14	0.0	Normal
corridor	2024-11-06 23:45:14	12.0	Normal
entrance	2024-11-06 23:45:26	0.0	Normal
corridor	2024-11-06 23:45:35	0.0	Normal
entrance	2024-11-06 23:45:35	0.0	Normal
corridor	2024-11-06 23:45:41	0.0	Normal
entrance	2024-11-06 23:45:41	6.0	Emergency
corridor	2024-11-06 23:45:47	0.0	Normal
entrance	2024-11-06 23:45:55	0.0	Normal
corridor	2024-11-06 23:45:55	8.0	Normal
entrance	2024-11-06 23:46:03	0.0	Normal
corridor	2024-11-06 23:46:11	0.0	Normal
entrance	2024-11-06 23:46:11	5.0	Emergency
corridor	2024-11-06 23:46:16	4.0	Normal
entrance	2024-11-06 23:46:20	0.0	Normal
corridor	2024-11-06 23:46:28	0.0	Normal
entrance	2024-11-06 23:46:28	4.0	Normal
corridor	2024-11-06 23:46:32	4.0	Normal
entrance	2024-11-06 23:46:36	0.0	Normal
corridor	2024-11-06 23:46:42	0.0	Normal
entrance	2024-11-06 23:46:42	7.0	Emergency
corridor	2024-11-06 23:46:49	6.0	Normal
entrance	2024-11-06 23:46:55	0.0	Normal
corridor	2024-11-06 23:47:01	0.0	Normal
entrance	2024-11-06 23:47:01	0.0	Normal
corridor	2024-11-06 23:47:06	0.0	Normal
entrance	2024-11-06 23:47:06	6.0	Emergency
corridor	2024-11-06 23:47:12	0.0	Normal
entrance	2024-11-06 23:47:18	0.0	Normal
corridor	2024-11-06 23:47:18	0.0	Normal
entrance	2024-11-06 23:47:51	0.0	Normal
corridor	2024-11-06 23:47:51	12.0	Normal
entrance	2024-11-06 23:48:03	4.0	Normal
corridor	2024-11-06 23:48:07	4.0	Normal
entrance	2024-11-06 23:48:11	6.0	Emergency
corridor	2024-11-06 23:48:17	0.0	Normal
entrance	2024-11-06 23:48:23	0.0	Normal
corridor	2024-11-06 23:48:23	7.0	Normal
entrance	2024-11-06 23:48:30	0.0	Normal
corridor	2024-11-06 23:48:32	2.0	Normal
entrance	2024-11-06 23:48:34	0.0	Normal
corridor	2024-11-06 23:48:40	0.0	Normal
entrance	2024-11-06 23:48:40	0.0	Normal
corridor	2024-11-06 23:48:40	0.0	Normal
entrance	2024-11-06 23:48:46	0.0	Normal
corridor	2024-11-06 23:48:46	0.0	Normal
entrance	2024-11-06 23:48:50	0.0	Normal
corridor	2024-11-06 23:48:50	0.0	Normal
entrance	2024-11-06 23:48:56	0.0	Normal
corridor	2024-11-06 23:48:56	0.0	Normal
entrance	2024-11-06 23:49:04	0.0	Normal
corridor	2024-11-06 23:49:04	0.0	Normal
entrance	2024-11-06 23:49:10	0.0	Normal
corridor	2024-11-06 23:49:10	13.0	Normal
entrance	2024-11-06 23:49:24	0.0	Normal
corridor	2024-11-06 23:49:35	0.0	Normal
entrance	2024-11-06 23:49:35	0.0	Normal
corridor	2024-11-06 23:49:39	0.0	Normal
entrance	2024-11-06 23:49:39	6.0	Emergency
corridor	2024-11-06 23:49:45	0.0	Normal
entrance	2024-11-06 23:49:55	0.0	Normal
corridor	2024-11-06 23:49:55	6.0	Normal
entrance	2024-11-06 23:50:01	0.0	Normal
corridor	2024-11-06 23:50:07	0.0	Normal
entrance	2024-11-06 23:50:07	0.0	Normal
corridor	2024-11-06 23:50:16	0.0	Normal
entrance	2024-11-06 23:50:16	4.0	Normal
corridor	2024-11-06 23:50:20	7.0	Normal
entrance	2024-11-06 23:50:28	8.0	Emergency
corridor	2024-11-06 23:50:36	4.0	Normal
entrance	2024-11-06 23:50:40	0.0	Normal
corridor	2024-11-06 23:50:50	0.0	Normal
entrance	2024-11-06 23:50:50	6.0	Emergency
corridor	2024-11-06 23:50:56	0.0	Normal
entrance	2024-11-06 23:51:04	0.0	Normal
corridor	2024-11-06 23:51:04	0.0	Normal
entrance	2024-11-06 23:51:10	0.0	Normal
corridor	2024-11-06 23:51:10	0.0	Normal
entrance	2024-11-06 23:51:17	0.0	Normal
corridor	2024-11-06 23:51:17	0.0	Normal
entrance	2024-11-06 23:51:22	0.0	Normal
corridor	2024-11-06 23:51:22	13.0	Normal
entrance	2024-11-06 23:51:36	4.0	Normal
corridor	2024-11-06 23:51:40	850613.0	Emergency
entrance	2024-11-16 20:09:07	0.0	Normal
corridor	2024-11-16 20:09:07	0.0	Normal
