room	day_of_week	hour_of_day	number_of_visits	average_duration
bed	0	0	3	34605.666666666664
bathroom	0	8	3	580.0
corridor	0	9	4	29436.5
door	0	9	4	84.25
bathroom	0	10	1	591.0
bed	0	10	1	685.0
corridor	0	10	1	38833.0
door	0	10	1	296.0
bathroom	0	11	1	812.0
corridor	0	11	1	34894.0
door	0	11	1	145.0
bathroom	0	20	2	0.0
bed	0	20	4	12452.75
corridor	0	20	3	180.0
bathroom	0	21	2	210.0
bed	0	21	2	0.0
corridor	0	21	3	460.0
bed	0	22	2	25333.5
corridor	0	22	1	0.0
bed	0	23	1	40336.0
bed	1	0	2	38359.5
bathroom	1	10	4	1157.5
corridor	1	10	4	15541.5
door	1	10	5	40.8
corridor	1	11	3	21355.666666666668
door	1	11	2	36.5
bathroom	1	12	1	692.0
corridor	1	12	1	23625.0
door	1	12	1	267.0
bathroom	1	19	3	540.0
bed	1	19	3	0.0
corridor	1	19	2	0.0
bathroom	1	20	3	220.0
bed	1	20	4	25182.25
corridor	1	20	2	570.0
bed	1	23	1	36479.0
bed	2	0	1	38392.0
bed	2	1	1	32681.0
bathroom	2	9	1	1321.0
corridor	2	9	2	15585.5
door	2	9	2	0.0
bathroom	2	10	4	807.25
corridor	2	10	3	17624.666666666668
door	2	10	4	70.25
corridor	2	11	3	16663.666666666668
door	2	11	2	64.5
bathroom	2	18	5	264.0
bed	2	18	6	19209.333333333332
corridor	2	18	4	165.0
bathroom	2	19	1	0.0
bed	2	19	3	20138.0
corridor	2	19	2	390.0
bed	2	23	1	47087.0
bed	3	0	1	38361.0
bathroom	3	10	3	1172.6666666666667
corridor	3	10	1	39687.0
door	3	10	1	144.0
corridor	3	11	2	39052.0
door	3	11	2	143.0
bathroom	3	12	2	776.5
corridor	3	12	3	21641.666666666668
door	3	12	3	23.666666666666668
bathroom	3	20	1	0.0
bathroom	3	21	1	0.0
bed	3	21	3	12952.0
corridor	3	21	2	0.0
bathroom	3	22	4	105.0
bed	3	22	4	17839.0
corridor	3	22	2	120.0
bed	4	0	2	27605.0
bathroom	4	7	41	8.487804878048781
bed	4	7	47	1.6170212765957446
corridor	4	7	4	0.0
door	4	7	5	0.0
bathroom	4	8	2	292.0
bed	4	8	1	555.0
corridor	4	8	6	19422.333333333332
door	4	8	5	78.8
bathroom	4	9	1	709.0
corridor	4	9	2	17156.5
door	4	9	1	64.0
bathroom	4	16	2	0.0
bed	4	16	5	286235.0
corridor	4	16	2	360.0
bathroom	4	17	3	440.0
bed	4	17	1	0.0
corridor	4	17	1	0.0
bathroom	4	18	2	180.0
corridor	4	18	2	60.0
bathroom	4	19	2	0.0
corridor	4	19	1	0.0
corridor	4	20	1	14261.0
door	4	20	1	0.0
bed	5	0	4	42901.0
bathroom	5	11	1	838.0
corridor	5	11	2	21214.0
door	5	11	2	0.0
bathroom	5	12	4	1160.0
corridor	5	12	6	23259.5
door	5	12	6	65.66666666666667
bathroom	5	22	4	225.0
bed	5	22	4	0.0
corridor	5	22	2	780.0
bathroom	5	23	2	0.0
bed	5	23	3	160.0
corridor	5	23	3	0.0
bathroom	6	0	1	0.0
bed	6	0	5	44305.0
bathroom	6	11	1	1011.0
corridor	6	11	2	11478.0
door	6	11	2	37.5
bathroom	6	12	4	798.75
corridor	6	12	7	12769.142857142857
door	6	12	7	64.0
bathroom	6	13	1	1304.0
corridor	6	13	1	23079.0
door	6	13	1	129.0
bathroom	6	18	4	15.0
bed	6	18	5	10150.8
corridor	6	18	2	60.0
corridor	6	19	1	1560.0
bathroom	6	20	3	0.0
bed	6	20	3	960.0
corridor	6	20	1	0.0
bathroom	6	21	2	0.0
bed	6	23	1	3545.0
