timestamp,bucket,_measurement,_field,value,voltage
2025-01-11T00:00:00,1_2_7,battery,soc,70.18,3.71
2025-01-11T00:00:00,1_3_10,battery,soc,71.24,3.86
2025-01-11T00:01:17,1_2_7,battery,soc,70.15,3.85
2025-01-11T00:01:17,1_3_10,battery,soc,71.23,3.86
2025-01-11T00:02:42,1_2_7,battery,soc,70.14,3.94
2025-01-11T00:02:42,1_3_10,battery,soc,71.2,3.96
2025-01-11T00:03:50,1_2_7,battery,soc,70.09,3.95
2025-01-11T00:03:50,1_3_10,battery,soc,71.17,3.94
2025-01-11T00:05:00,1_2_7,battery,soc,70.06,3.71
2025-01-11T00:05:00,1_3_10,battery,soc,71.15,3.79
2025-01-11T00:06:24,1_2_7,battery,soc,70.03,3.93
2025-01-11T00:06:24,1_3_10,battery,soc,71.11,3.85
2025-01-11T00:07:40,1_2_7,battery,soc,70.0,3.82
2025-01-11T00:07:40,1_3_10,battery,soc,71.09,3.96
2025-01-11T00:08:49,1_2_7,battery,soc,69.96,3.89
2025-01-11T00:08:49,1_3_10,battery,soc,71.06,3.75
2025-01-11T00:09:54,1_2_7,battery,soc,69.92,3.85
2025-01-11T00:09:54,1_3_10,battery,soc,71.04,3.81
2025-01-11T00:11:00,1_2_7,battery,soc,69.91,3.91
2025-01-11T00:11:00,1_3_10,battery,soc,71.03,3.86
2025-01-11T00:12:15,1_2_7,battery,soc,69.89,3.91
2025-01-11T00:12:15,1_3_10,battery,soc,70.99,3.83
2025-01-11T00:13:26,1_2_7,battery,soc,69.85,3.97
2025-01-11T00:13:26,1_3_10,battery,soc,70.97,3.9
2025-01-11T00:14:53,1_2_7,battery,soc,69.81,3.85
2025-01-11T00:14:53,1_3_10,battery,soc,70.94,3.72
2025-01-11T00:15:57,1_2_7,battery,soc,69.79,3.79
2025-01-11T00:15:57,1_3_10,battery,soc,70.89,3.93
2025-01-11T00:17:02,1_2_7,battery,soc,69.77,3.96
2025-01-11T00:17:02,1_3_10,battery,soc,70.87,3.82
2025-01-11T00:18:24,1_2_7,battery,soc,69.74,3.87
2025-01-11T00:18:24,1_3_10,battery,soc,70.85,3.91
2025-01-11T00:19:33,1_2_7,battery,soc,69.72,3.9
2025-01-11T00:19:33,1_3_10,battery,soc,70.82,3.82
2025-01-11T00:20:40,1_2_7,battery,soc,69.7,3.71
2025-01-11T00:20:40,1_3_10,battery,soc,70.78,3.91
2025-01-11T00:21:47,1_2_7,battery,soc,69.66,3.76
2025-01-11T00:21:47,1_3_10,battery,soc,70.77,3.92
2025-01-11T00:22:59,1_2_7,battery,soc,69.64,3.93
2025-01-11T00:22:59,1_3_10,battery,soc,70.75,3.86
2025-01-11T00:24:02,1_2_7,battery,soc,69.63,3.93
2025-01-11T00:24:02,1_3_10,battery,soc,70.73,3.8
2025-01-11T00:25:02,1_2_7,battery,soc,69.59,3.74
2025-01-11T00:25:02,1_3_10,battery,soc,70.71,3.74
2025-01-11T00:26:02,1_2_7,battery,soc,69.57,3.78
2025-01-11T00:26:02,1_3_10,battery,soc,70.66,3.85
2025-01-11T00:27:15,1_2_7,battery,soc,69.54,3.86
2025-01-11T00:27:15,1_3_10,battery,soc,70.65,3.94
2025-01-11T00:28:21,1_2_7,battery,soc,69.52,3.89
2025-01-11T00:28:21,1_3_10,battery,soc,70.6,3.81
2025-01-11T00:29:26,1_2_7,battery,soc,69.49,3.84
2025-01-11T00:29:26,1_3_10,battery,soc,70.58,3.86
2025-01-11T00:30:35,1_2_7,battery,soc,69.44,3.96
2025-01-11T00:30:35,1_3_10,battery,soc,70.53,3.84
2025-01-11T00:31:53,1_2_7,battery,soc,69.4,3.92
2025-01-11T00:31:53,1_3_10,battery,soc,70.5,3.98
2025-01-11T00:33:18,1_2_7,battery,soc,69.37,3.92
2025-01-11T00:33:18,1_3_10,battery,soc,70.45,3.95
2025-01-11T00:34:31,1_2_7,battery,soc,69.34,3.85
