timestamp,bucket,_measurement,_field,value
2025-01-05T00:00:00,1_2_7,battery,value,49.96
2025-01-05T00:00:00,1_3_10,battery,value,99.99
2025-01-05T00:01:26,1_2_7,battery,value,49.93
2025-01-05T00:01:26,1_3_10,battery,value,99.97
2025-01-05T00:02:33,1_2_7,battery,value,49.89
2025-01-05T00:02:33,1_3_10,battery,value,99.93
2025-01-05T00:03:42,1_2_7,battery,value,49.85
2025-01-05T00:03:42,1_3_10,battery,value,99.88
2025-01-05T00:05:11,1_2_7,battery,value,49.82
2025-01-05T00:05:11,1_3_10,battery,value,99.85
2025-01-05T00:06:41,1_2_7,battery,value,49.8
2025-01-05T00:06:41,1_3_10,battery,value,99.82
2025-01-05T00:07:42,1_2_7,battery,value,49.75
2025-01-05T00:07:42,1_3_10,battery,value,99.77
2025-01-05T00:08:52,1_2_7,battery,value,49.71
2025-01-05T00:08:52,1_3_10,battery,value,99.76
2025-01-05T00:10:12,1_2_7,battery,value,49.68
2025-01-05T00:10:12,1_3_10,battery,value,99.75
2025-01-05T00:11:42,1_2_7,battery,value,49.63
2025-01-05T00:11:42,1_3_10,battery,value,99.71
2025-01-05T00:12:52,1_2_7,battery,value,49.6
2025-01-05T00:12:52,1_3_10,battery,value,99.66
2025-01-05T00:13:56,1_2_7,battery,value,49.57
2025-01-05T00:13:56,1_3_10,battery,value,99.62
2025-01-05T00:15:22,1_2_7,battery,value,49.54
2025-01-05T00:15:22,1_3_10,battery,value,99.59
2025-01-05T00:16:32,1_2_7,battery,value,49.5
2025-01-05T00:16:32,1_3_10,battery,value,99.56
2025-01-05T00:17:44,1_2_7,battery,value,49.46
2025-01-05T00:17:44,1_3_10,battery,value,99.52
2025-01-05T00:19:11,1_2_7,battery,value,49.42
2025-01-05T00:19:11,1_3_10,battery,value,99.5
2025-01-05T00:20:12,1_2_7,battery,value,49.39
2025-01-05T00:20:12,1_3_10,battery,value,99.46
2025-01-05T00:21:30,1_2_7,battery,value,49.38
2025-01-05T00:21:30,1_3_10,battery,value,99.43
2025-01-05T00:22:33,1_2_7,battery,value,49.34
2025-01-05T00:22:33,1_3_10,battery,value,99.41
2025-01-05T00:23:54,1_2_7,battery,value,49.33
2025-01-05T00:23:54,1_3_10,battery,value,99.36
2025-01-05T00:25:03,1_2_7,battery,value,49.29
2025-01-05T00:25:03,1_3_10,battery,value,99.33
2025-01-05T00:26:30,1_2_7,battery,value,49.27
2025-01-05T00:26:30,1_3_10,battery,value,99.3
2025-01-05T00:27:47,1_2_7,battery,value,49.24
2025-01-05T00:27:47,1_3_10,battery,value,99.26
2025-01-05T00:28:52,1_2_7,battery,value,49.19
2025-01-05T00:28:52,1_3_10,battery,value,99.23
2025-01-05T00:29:55,1_2_7,battery,value,49.18
2025-01-05T00:29:55,1_3_10,battery,value,99.19
2025-01-05T00:31:03,1_2_7,battery,value,49.16
2025-01-05T00:31:03,1_3_10,battery,value,99.17
2025-01-05T00:32:17,1_2_7,battery,value,49.15
2025-01-05T00:32:17,1_3_10,battery,value,99.14
2025-01-05T00:33:37,1_2_7,battery,value,49.11
2025-01-05T00:33:37,1_3_10,battery,value,99.1
2025-01-05T00:34:41,1_2_7,battery,value,49.08
2025-01-05T00:34:41,1_3_10,battery,value,99.06
2025-01-05T00:35:49,1_2_7,battery,value,49.04
2025-01-05T00:35:49,1_3_10,battery,value,99.03
2025-01-05T00:36:53,1_2_7,battery,value,49.01
2025-01-05T00:36:53,1_3_10,battery,value,99.01
2025-01-05T00:37:56,1_2_7,battery,value,48.98
2025-01-05T00:37:56,1_3_10,battery,value,98.96
2025-01-05T00:39:22,1_2_7,battery,value,48.97
2025-01-05T00:39:22,1_3_10,battery,value,98.94
2025-01-05T00:40:48,1_2_7,battery,value,48.96
2025-01-05T00:40:48,1_3_10,battery,value,98.91
2025-01-05T00:42:03,1_2_7,battery,value,48.92
2025-01-05T00:42:03,1_3_10,battery,value,98.9
2025-01-05T00:43:28,1_2_7,battery,value,48.89
2025-01-05T00:43:28,1_3_10,battery,value,98.85
2025-01-05T00:44:37,1_2_7,battery,value,48.88
2025-01-05T00:44:37,1_3_10,battery,value,98.82
2025-01-05T00:45:46,1_2_7,battery,value,48.87
2025-01-05T00:45:46,1_3_10,battery,value,98.79
2025-01-05T00:46:47,1_2_7,battery,value,48.84
2025-01-05T00:46:47,1_3_10,battery,value,98.77
2025-01-05T00:48:08,1_2_7,battery,value,48.81
2025-01-05T00:48:08,1_3_10,battery,value,98.73
2025-01-05T00:49:14,1_2_7,battery,value,48.77
2025-01-05T00:49:14,1_3_10,battery,value,98.7
2025-01-05T00:50:31,1_2_7,battery,value,48.74
2025-01-05T00:50:31,1_3_10,battery,value,98.67
2025-01-05T00:52:01,1_2_7,battery,value,48.73
