timestamp,bucket,_measurement,_field,value
2025-01-05T00:00:00,1_2_7,battery,value,49.98
2025-01-05T00:00:00,1_3_10,battery,value,99.98
2025-01-05T00:01:12,1_2_7,battery,value,49.96
2025-01-05T00:01:12,1_3_10,battery,value,99.96
2025-01-05T00:02:23,1_2_7,battery,value,49.93
2025-01-05T00:02:23,1_3_10,battery,value,99.95
2025-01-05T00:03:30,1_2_7,battery,value,49.88
2025-01-05T00:03:30,1_3_10,battery,value,99.92
2025-01-05T00:04:56,1_2_7,battery,value,49.84
2025-01-05T00:04:56,1_3_10,battery,value,99.89
2025-01-05T00:06:07,1_2_7,battery,value,49.82
2025-01-05T00:06:07,1_3_10,battery,value,99.87
2025-01-05T00:07:15,1_2_7,battery,value,49.79
2025-01-05T00:07:15,1_3_10,battery,value,99.86
2025-01-05T00:08:20,1_2_7,battery,value,49.76
2025-01-05T00:08:20,1_3_10,battery,value,99.81
2025-01-05T00:09:23,1_2_7,battery,value,49.72
2025-01-05T00:09:23,1_3_10,battery,value,99.78
2025-01-05T00:10:28,1_2_7,battery,value,49.69
2025-01-05T00:10:28,1_3_10,battery,value,99.74
2025-01-05T00:11:55,1_2_7,battery,value,49.67
2025-01-05T00:11:55,1_3_10,battery,value,99.7
2025-01-05T00:13:24,1_2_7,battery,value,49.63
2025-01-05T00:13:24,1_3_10,battery,value,99.65
2025-01-05T00:14:32,1_2_7,battery,value,49.58
2025-01-05T00:14:32,1_3_10,battery,value,99.62
2025-01-05T00:15:33,1_2_7,battery,value,49.57
2025-01-05T00:15:33,1_3_10,battery,value,99.6
2025-01-05T00:16:46,1_2_7,battery,value,49.55
2025-01-05T00:16:46,1_3_10,battery,value,99.56
2025-01-05T00:18:05,1_2_7,battery,value,49.53
2025-01-05T00:18:05,1_3_10,battery,value,99.52
2025-01-05T00:19:09,1_2_7,battery,value,49.5
2025-01-05T00:19:09,1_3_10,battery,value,99.49
2025-01-05T00:20:14,1_2_7,battery,value,49.48
2025-01-05T00:20:14,1_3_10,battery,value,99.47
2025-01-05T00:21:23,1_2_7,battery,value,49.45
2025-01-05T00:21:23,1_3_10,battery,value,99.45
2025-01-05T00:22:38,1_2_7,battery,value,49.4
2025-01-05T00:22:38,1_3_10,battery,value,99.44
2025-01-05T00:23:55,1_2_7,battery,value,49.36
2025-01-05T00:23:55,1_3_10,battery,value,99.39
2025-01-05T00:24:59,1_2_7,battery,value,49.35
2025-01-05T00:24:59,1_3_10,battery,value,99.38
2025-01-05T00:26:01,1_2_7,battery,value,49.32
2025-01-05T00:26:01,1_3_10,battery,value,99.35
2025-01-05T00:27:25,1_2_7,battery,value,49.29
2025-01-05T00:27:25,1_3_10,battery,value,99.32
2025-01-05T00:28:41,1_2_7,battery,value,49.26
2025-01-05T00:28:41,1_3_10,battery,value,99.3
2025-01-05T00:29:49,1_2_7,battery,value,49.22
2025-01-05T00:29:49,1_3_10,battery,value,99.27
2025-01-05T00:31:04,1_2_7,battery,value,49.21
2025-01-05T00:31:04,1_3_10,battery,value,99.22
2025-01-05T00:32:06,1_2_7,battery,value,49.19
2025-01-05T00:32:06,1_3_10,battery,value,99.21
2025-01-05T00:33:16,1_2_7,battery,value,49.17
2025-01-05T00:33:16,1_3_10,battery,value,99.17
2025-01-05T00:34:38,1_2_7,battery,value,49.15
2025-01-05T00:34:38,1_3_10,battery,value,99.14
2025-01-05T00:35:39,1_2_7,battery,value,49.12
2025-01-05T00:35:39,1_3_10,battery,value,99.11
2025-01-05T00:37:05,1_2_7,battery,value,49.09
2025-01-05T00:37:05,1_3_10,battery,value,99.08
2025-01-05T00:38:07,1_2_7,battery,value,49.07
2025-01-05T00:38:07,1_3_10,battery,value,99.06
2025-01-05T00:39:35,1_2_7,battery,value,49.02
2025-01-05T00:39:35,1_3_10,battery,value,99.03
2025-01-05T00:41:03,1_2_7,battery,value,49.01
2025-01-05T00:41:03,1_3_10,battery,value,99.01
2025-01-05T00:42:24,1_2_7,battery,value,48.99
2025-01-05T00:42:24,1_3_10,battery,value,99.0
2025-01-05T00:43:25,1_2_7,battery,value,48.95
2025-01-05T00:43:25,1_3_10,battery,value,98.98
2025-01-05T00:44:55,1_2_7,battery,value,48.93
2025-01-05T00:44:55,1_3_10,battery,value,98.97
2025-01-05T00:46:09,1_2_7,battery,value,48.91
2025-01-05T00:46:09,1_3_10,battery,value,98.95
2025-01-05T00:47:36,1_2_7,battery,value,48.89
2025-01-05T00:47:36,1_3_10,battery,value,98.93
2025-01-05T00:48:49,1_2_7,battery,value,48.86
2025-01-05T00:48:49,1_3_10,battery,value,98.9
2025-01-05T00:50:15,1_2_7,battery,value,48.82
2025-01-05T00:50:15,1_3_10,battery,value,98.86
2025-01-05T00:51:17,1_2_7,battery,value,48.78
2025-01-05T00:51:17,1_3_10,battery,value,98.84
