timestamp,value,bucket,day
2025-01-07 00:00:36,bed,1_4_13,2025-01-07
2025-01-07 00:01:50,bed,1_4_13,2025-01-07
2025-01-07 00:03:09,bed,1_4_13,2025-01-07
2025-01-07 00:04:15,bed,1_4_13,2025-01-07
2025-01-07 00:05:25,bed,1_4_13,2025-01-07
2025-01-07 00:06:35,bed,1_4_13,2025-01-07
2025-01-07 00:07:48,bed,1_4_13,2025-01-07
2025-01-07 00:08:57,bed,1_4_13,2025-01-07
2025-01-07 00:10:02,bed,1_4_13,2025-01-07
2025-01-07 00:11:12,bed,1_4_13,2025-01-07
2025-01-07 00:12:20,bed,1_4_13,2025-01-07
2025-01-07 00:13:34,bed,1_4_13,2025-01-07
2025-01-07 00:14:35,bed,1_4_13,2025-01-07
2025-01-07 00:15:43,bed,1_4_13,2025-01-07
2025-01-07 00:16:43,bed,1_4_13,2025-01-07
2025-01-07 00:17:43,bed,1_4_13,2025-01-07
2025-01-07 00:18:58,bed,1_4_13,2025-01-07
2025-01-07 00:20:14,bed,1_4_13,2025-01-07
2025-01-07 00:21:31,bed,1_4_13,2025-01-07
2025-01-07 00:22:37,bed,1_4_13,2025-01-07
2025-01-07 00:23:52,bed,1_4_13,2025-01-07
2025-01-07 00:24:54,bed,1_4_13,2025-01-07
2025-01-07 00:26:01,bed,1_4_13,2025-01-07
2025-01-07 00:27:10,bed,1_4_13,2025-01-07
2025-01-07 00:28:15,bed,1_4_13,2025-01-07
2025-01-07 00:29:34,bed,1_4_13,2025-01-07
2025-01-07 00:30:43,bed,1_4_13,2025-01-07
2025-01-07 00:32:02,bed,1_4_13,2025-01-07
2025-01-07 00:33:04,bed,1_4_13,2025-01-07
2025-01-07 00:34:06,bed,1_4_13,2025-01-07
2025-01-07 00:35:17,bed,1_4_13,2025-01-07
2025-01-07 00:36:20,bed,1_4_13,2025-01-07
2025-01-07 00:37:22,bed,1_4_13,2025-01-07
2025-01-07 00:38:41,bed,1_4_13,2025-01-07
2025-01-07 00:39:45,bed,1_4_13,2025-01-07
2025-01-07 00:40:47,bed,1_4_13,2025-01-07
2025-01-07 00:41:53,bed,1_4_13,2025-01-07
2025-01-07 00:43:04,bed,1_4_13,2025-01-07
2025-01-07 00:44:14,bed,1_4_13,2025-01-07
2025-01-07 00:45:29,bed,1_4_13,2025-01-07
2025-01-07 00:46:43,bed,1_4_13,2025-01-07
2025-01-07 00:48:03,bed,1_4_13,2025-01-07
2025-01-07 00:49:09,bed,1_4_13,2025-01-07
2025-01-07 00:50:10,bed,1_4_13,2025-01-07
2025-01-07 00:51:29,bed,1_4_13,2025-01-07
2025-01-07 00:52:37,bed,1_4_13,2025-01-07
2025-01-07 00:53:52,bed,1_4_13,2025-01-07
2025-01-07 00:55:03,bed,1_4_13,2025-01-07
2025-01-07 00:56:12,bed,1_4_13,2025-01-07
2025-01-07 00:57:19,bed,1_4_13,2025-01-07
2025-01-07 00:58:33,bed,1_4_13,2025-01-07
2025-01-07 00:59:48,bed,1_4_13,2025-01-07
2025-01-07 01:00:58,bed,1_4_13,2025-01-07
2025-01-07 01:02:16,bed,1_4_13,2025-01-07
2025-01-07 01:03:36,bed,1_4_13,2025-01-07
2025-01-07 01:04:50,bed,1_4_13,2025-01-07
2025-01-07 01:05:59,bed,1_4_13,2025-01-07
2025-01-07 01:07:11,bed,1_4_13,2025-01-07
2025-01-07 01:08:28,bed,1_4_13,2025-01-07
2025-01-07 01:09:33,bed,1_4_13,2025-01-07
2025-01-07 01:10:39,bed,1_4_13,2025-01-07
2025-01-07 01:11:59,bed,1_4_13,2025-01-07
2025-01-07 01:13:03,bed,1_4_13,2025-01-07
2025-01-07 01:14:23,bed,1_4_13,2025-01-07
2025-01-07 01:15:29,bed,1_4_13,2025-01-07
2025-01-07 01:16:33,bed,1_4_13,2025-01-07
2025-01-07 01:17:45,bed,1_4_13,2025-01-07
2025-01-07 01:18:56,bed,1_4_13,2025-01-07
2025-01-07 01:19:58,bed,1_4_13,2025-01-07
2025-01-07 01:21:11,bed,1_4_13,2025-01-07
2025-01-07 01:22:29,bed,1_4_13,2025-01-07
2025-01-07 01:23:40,bed,1_4_13,2025-01-07
2025-01-07 01:25:00,bed,1_4_13,2025-01-07
2025-01-07 01:26:11,bed,1_4_13,2025-01-07
2025-01-07 01:27:16,bed,1_4_13,2025-01-07
2025-01-07 01:28:18,bed,1_4_13,2025-01-07
2025-01-07 01:29:36,bed,1_4_13,2025-01-07
2025-01-07 01:30:44,bed,1_4_13,2025-01-07
2025-01-07 01:31:46,bed,1_4_13,2025-01-07
2025-01-07 01:33:02,bed,1_4_13,2025-01-07
2025-01-07 01:34:16,bed,1_4_13,2025-01-07
2025-01-07 01:35:26,bed,1_4_13,2025-01-07
2025-01-07 01:36:40,bed,1_4_13,2025-01-07
2025-01-07 01:37:41,bed,1_4_13,2025-01-07
2025-01-07 01:38:53,bed,1_4_13,2025-01-07
2025-01-07 01:39:58,bed,1_4_13,2025-01-07
2025-01-07 01:41:06,bed,1_4_13,2025-01-07
2025-01-07 01:42:22,bed,1_4_13,2025-01-07
2025-01-07 01:43:29,bed,1_4_13,2025-01-07
2025-01-07 01:44:33,bed,1_4_13,2025-01-07
2025-01-07 01:45:36,bed,1_4_13,2025-01-07
2025-01-07 01:46:48,bed,1_4_13,2025-01-07
2025-01-07 01:48:05,bed,1_4_13,2025-01-07
2025-01-07 01:49:13,bed,1_4_13,2025-01-07
2025-01-07 01:50:31,bed,1_4_13,2025-01-07
2025-01-07 01:51:47,bed,1_4_13,2025-01-07
2025-01-07 01:52:51,bed,1_4_13,2025-01-07
2025-01-07 01:53:55,bed,1_4_13,2025-01-07
2025-01-07 01:55:13,bed,1_4_13,2025-01-07
2025-01-07 01:56:24,bed,1_4_13,2025-01-07
2025-01-07 01:57:25,bed,1_4_13,2025-01-07
2025-01-07 01:58:43,bed,1_4_13,2025-01-07
2025-01-07 01:59:52,bed,1_4_13,2025-01-07
2025-01-07 02:01:03,bed,1_4_13,2025-01-07
2025-01-07 02:02:11,bed,1_4_13,2025-01-07
2025-01-07 02:03:25,bed,1_4_13,2025-01-07
2025-01-07 02:04:39,bed,1_4_13,2025-01-07
2025-01-07 02:05:42,bed,1_4_13,2025-01-07
2025-01-07 02:07:01,bed,1_4_13,2025-01-07
2025-01-07 02:08:21,bed,1_4_13,2025-01-07
2025-01-07 02:09:32,bed,1_4_13,2025-01-07
2025-01-07 02:10:39,bed,1_4_13,2025-01-07
2025-01-07 02:11:40,bed,1_4_13,2025-01-07
2025-01-07 02:12:44,bed,1_4_13,2025-01-07
2025-01-07 02:13:54,bed,1_4_13,2025-01-07
2025-01-07 02:15:10,bed,1_4_13,2025-01-07
2025-01-07 02:16:14,bed,1_4_13,2025-01-07
2025-01-07 02:17:32,bed,1_4_13,2025-01-07
2025-01-07 02:18:46,bed,1_4_13,2025-01-07
2025-01-07 02:19:55,bed,1_4_13,2025-01-07
2025-01-07 02:21:14,bed,1_4_13,2025-01-07
2025-01-07 02:22:14,bed,1_4_13,2025-01-07
2025-01-07 02:23:27,bed,1_4_13,2025-01-07
2025-01-07 02:24:38,bed,1_4_13,2025-01-07
2025-01-07 02:25:43,bed,1_4_13,2025-01-07
2025-01-07 02:26:46,bed,1_4_13,2025-01-07
2025-01-07 02:27:56,bed,1_4_13,2025-01-07
2025-01-07 02:29:08,bed,1_4_13,2025-01-07
2025-01-07 02:30:27,bed,1_4_13,2025-01-07
2025-01-07 02:31:30,bed,1_4_13,2025-01-07
2025-01-07 02:32:49,bed,1_4_13,2025-01-07
2025-01-07 02:33:54,bed,1_4_13,2025-01-07
2025-01-07 02:35:05,bed,1_4_13,2025-01-07
